Package	Version	Built
ragg	1.5.2	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:27:04 UTC; unix
RANN	2.6.3	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:33:09 UTC; unix
RcisTarget	1.23.1	R 4.6.1; ; 2026-09-13 19:57:24 UTC; unix
rcmdcheck	1.4.0	R 4.6.1; ; 2026-09-13 19:30:21 UTC; unix
Rcpp	1.1.2	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:08:50 UTC; unix
RcppAnnoy	0.0.23	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:02:21 UTC; unix
RcppHNSW	0.7.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:02:44 UTC; unix
RcppML	0.3.7.1	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:10:04 UTC; unix
RcppProgress	0.4.2	R 4.6.1; ; 2026-09-13 17:40:49 UTC; unix
RcppTOML	0.2.3	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:58:53 UTC; unix
rdtools	0.1.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:11:23 UTC; unix
reactome.db	1.96.0	R 4.6.1; ; 2026-09-22 01:09:01 UTC; unix
ReactomePA	1.56.0	R 4.6.1; ; 2026-09-22 01:09:45 UTC; unix
readr	2.2.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 20:04:18 UTC; unix
readxl	1.5.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 20:21:47 UTC; unix
registry	0.5-1	R 4.6.1; ; 2026-09-13 18:43:08 UTC; unix
rematch	2.0.0	R 4.6.1; ; 2026-09-13 17:52:55 UTC; unix
rematch2	2.1.2	R 4.6.1; ; 2026-09-13 20:21:08 UTC; unix
reprex	2.1.1	R 4.6.1; ; 2026-09-13 20:22:04 UTC; unix
reshape2	1.4.5	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:35:07 UTC; unix
restfulr	0.0.17	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 20:32:00 UTC; unix
reticulate	1.47.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-15 15:01:20 UTC; unix
rex	1.2.2	R 4.6.1; ; 2026-09-13 19:11:24 UTC; unix
rhdf5	2.56.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-15 10:45:55 UTC; unix
rhdf5filters	1.24.1	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-15 10:45:33 UTC; unix
Rhdf5lib	2.0.0	R 4.6.1; ; 2026-09-15 10:45:29 UTC; unix
RhpcBLASctl	0.23-42	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:05:49 UTC; unix
Rhtslib	3.8.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:10:51 UTC; unix
Rigraphlib	1.4.0	R 4.6.1; ; 2026-09-13 18:30:37 UTC; unix
rjson	0.2.23	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:09:32 UTC; unix
rlang	1.3.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:43:00 UTC; unix
Rmpi	0.7-3.4	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:12:07 UTC; unix
